epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1048.6,1.04805,1.1682,1.34137,0.64905,0.6072,0.61884,0.47446,1.08191,1.29177,1.40083,0.0008647,0.0008647,0.0008647
43,1074.54,1.03249,1.14654,1.33143,0.6795,0.56879,0.60625,0.45651,1.08929,1.34218,1.39925,0.0008614,0.0008614,0.0008614
44,1099.56,1.01495,1.13829,1.32289,0.57299,0.61314,0.59951,0.4594,1.09147,1.334,1.41756,0.0008581,0.0008581,0.0008581
45,1123.68,1.02844,1.17041,1.34101,0.5922,0.61089,0.61125,0.46474,1.10604,1.32146,1.43192,0.0008548,0.0008548,0.0008548
46,1148.33,1.02612,1.12951,1.32861,0.62526,0.6047,0.61194,0.46683,1.09626,1.34972,1.40369,0.0008515,0.0008515,0.0008515
47,1173.45,1.02919,1.1579,1.31911,0.57083,0.59162,0.58416,0.43882,1.08743,1.33926,1.40096,0.0008482,0.0008482,0.0008482
48,1197.22,1.03107,1.11702,1.32615,0.69013,0.58965,0.6201,0.47954,1.07973,1.30315,1.39037,0.0008449,0.0008449,0.0008449
49,1223.27,1.01638,1.10908,1.31791,0.59242,0.60817,0.60726,0.46917,1.07828,1.33636,1.39637,0.0008416,0.0008416,0.0008416
50,1248.64,1.00028,1.05583,1.31453,0.61783,0.61871,0.61543,0.4702,1.07744,1.29801,1.39486,0.0008383,0.0008383,0.0008383
51,1274,1.02033,1.09905,1.32461,0.66112,0.57889,0.59832,0.461,1.11541,1.33921,1.412,0.000835,0.000835,0.000835
52,1298.66,1.00953,1.04587,1.30534,0.65147,0.60636,0.60711,0.46496,1.10627,1.34935,1.40615,0.0008317,0.0008317,0.0008317
53,1322.55,1.00056,1.08149,1.31542,0.64504,0.61642,0.61338,0.47188,1.09261,1.25821,1.38984,0.0008284,0.0008284,0.0008284
54,1347.53,1.00564,1.06955,1.31331,0.60817,0.61147,0.59696,0.45813,1.0981,1.33126,1.4118,0.0008251,0.0008251,0.0008251
55,1372.52,1.00427,1.05534,1.30493,0.6665,0.57849,0.60906,0.46882,1.07718,1.29565,1.41805,0.0008218,0.0008218,0.0008218
56,1396.24,0.97114,1.02537,1.29099,0.57975,0.64676,0.60209,0.45525,1.08352,1.31095,1.41142,0.0008185,0.0008185,0.0008185
57,1420.56,0.98335,1.03636,1.29459,0.63066,0.59697,0.59004,0.4524,1.06433,1.40352,1.36749,0.0008152,0.0008152,0.0008152
58,1445.67,1.00121,1.03379,1.30883,0.63794,0.58616,0.60799,0.4689,1.08143,1.38428,1.39664,0.0008119,0.0008119,0.0008119
59,1469.81,0.97733,1.04423,1.29425,0.63318,0.61152,0.61142,0.4633,1.08156,1.28594,1.39887,0.0008086,0.0008086,0.0008086
60,1493.3,0.98521,1.01441,1.29225,0.67091,0.63344,0.63885,0.48992,1.09038,1.25726,1.41224,0.0008053,0.0008053,0.0008053
61,1519.27,0.96636,1.01097,1.29862,0.66516,0.59596,0.61114,0.46961,1.0939,1.32174,1.41011,0.000802,0.000802,0.000802
62,1544,1.00139,1.03735,1.3052,0.6255,0.59647,0.63138,0.48384,1.0822,1.32262,1.39233,0.0007987,0.0007987,0.0007987
63,1568.13,0.97754,0.99599,1.29001,0.64224,0.61389,0.63164,0.48318,1.0765,1.27193,1.41317,0.0007954,0.0007954,0.0007954
64,1592.22,0.95667,0.9815,1.27861,0.60851,0.63455,0.62347,0.47702,1.06294,1.27175,1.3885,0.0007921,0.0007921,0.0007921
65,1617.45,0.97722,0.97156,1.27894,0.69866,0.60063,0.63994,0.49522,1.06563,1.28313,1.39254,0.0007888,0.0007888,0.0007888
66,1644.07,0.95727,0.95704,1.27747,0.63161,0.65756,0.63219,0.48067,1.07613,1.23533,1.40783,0.0007855,0.0007855,0.0007855
67,1669.38,0.97832,0.97274,1.28655,0.63135,0.59252,0.62206,0.47698,1.08533,1.25426,1.39936,0.0007822,0.0007822,0.0007822
68,1693.2,0.95336,0.95228,1.27742,0.67082,0.61282,0.6379,0.48873,1.08765,1.28497,1.39752,0.0007789,0.0007789,0.0007789
69,1718.57,0.95302,0.94134,1.26384,0.5997,0.59723,0.60498,0.4563,1.09052,1.30201,1.40435,0.0007756,0.0007756,0.0007756
70,1743.67,0.93829,0.93842,1.27373,0.59322,0.64226,0.61725,0.47897,1.06423,1.2984,1.38078,0.0007723,0.0007723,0.0007723
71,1768.18,0.94975,0.95995,1.27141,0.64528,0.61766,0.62773,0.47632,1.08241,1.29018,1.41084,0.000769,0.000769,0.000769
72,1792.6,0.92419,0.92397,1.24778,0.66687,0.62011,0.6368,0.49125,1.07189,1.27512,1.4045,0.0007657,0.0007657,0.0007657
73,1817.23,0.94642,0.95487,1.27063,0.66364,0.6173,0.62732,0.47966,1.07732,1.23296,1.39452,0.0007624,0.0007624,0.0007624
74,1841.98,0.93258,0.90793,1.25683,0.6408,0.61692,0.60653,0.46339,1.07267,1.33369,1.39206,0.0007591,0.0007591,0.0007591
75,1865.45,0.91649,0.89438,1.24131,0.63282,0.6408,0.63365,0.48436,1.06538,1.2564,1.37222,0.0007558,0.0007558,0.0007558
76,1890.4,0.91297,0.90847,1.23675,0.60618,0.60774,0.60842,0.46404,1.07997,1.39436,1.41688,0.0007525,0.0007525,0.0007525
77,1915.33,0.91894,0.89253,1.25252,0.67091,0.58916,0.62775,0.48312,1.04418,1.25977,1.36595,0.0007492,0.0007492,0.0007492
78,1939.63,0.93089,0.91265,1.24896,0.64259,0.6444,0.63995,0.4925,1.05826,1.25405,1.39729,0.0007459,0.0007459,0.0007459
79,1963.81,0.94831,0.92579,1.26693,0.65805,0.61401,0.62328,0.47462,1.06205,1.33213,1.38325,0.0007426,0.0007426,0.0007426
80,1988.93,0.91753,0.89326,1.23778,0.68686,0.5921,0.62873,0.47806,1.06196,1.29921,1.38704,0.0007393,0.0007393,0.0007393
81,2014.57,0.91055,0.8996,1.23566,0.64414,0.63187,0.64183,0.49291,1.08062,1.26561,1.40197,0.000736,0.000736,0.000736
82,2038.56,0.91721,0.91584,1.24372,0.64083,0.6169,0.60801,0.47262,1.04631,1.34596,1.39042,0.0007327,0.0007327,0.0007327
83,2062.53,0.90059,0.89054,1.22983,0.6811,0.62743,0.63442,0.49507,1.06608,1.23687,1.39561,0.0007294,0.0007294,0.0007294
84,2087.54,0.91683,0.89154,1.23772,0.65095,0.64438,0.64225,0.4918,1.08667,1.30145,1.40144,0.0007261,0.0007261,0.0007261
85,2112.82,0.91466,0.87725,1.23463,0.70646,0.61961,0.6372,0.48806,1.08254,1.28823,1.41881,0.0007228,0.0007228,0.0007228
86,2136.51,0.90256,0.88931,1.23141,0.66482,0.63081,0.62406,0.48042,1.07334,1.26978,1.39211,0.0007195,0.0007195,0.0007195
87,2161.66,0.89864,0.87686,1.23877,0.66442,0.61251,0.61927,0.47558,1.05802,1.26101,1.40911,0.0007162,0.0007162,0.0007162
88,2186.81,0.8798,0.84305,1.21755,0.7046,0.58874,0.62316,0.48433,1.07744,1.32227,1.41951,0.0007129,0.0007129,0.0007129
89,2211.86,0.87657,0.86999,1.2219,0.68191,0.63041,0.64626,0.49837,1.07849,1.2357,1.42923,0.0007096,0.0007096,0.0007096
90,2237.7,0.89438,0.83689,1.23502,0.64957,0.62464,0.63625,0.48295,1.06763,1.22049,1.41468,0.0007063,0.0007063,0.0007063
91,2262.77,0.90654,0.84376,1.23692,0.61202,0.6198,0.61282,0.46755,1.09011,1.33866,1.44288,0.000703,0.000703,0.000703
92,2287.65,0.87339,0.83845,1.21867,0.65745,0.64142,0.62865,0.4831,1.08418,1.25678,1.43272,0.0006997,0.0006997,0.0006997
93,2313.02,0.90254,0.85724,1.22412,0.69055,0.61045,0.64414,0.49743,1.05097,1.26836,1.37789,0.0006964,0.0006964,0.0006964
94,2336.76,0.86865,0.83796,1.21776,0.67382,0.65164,0.65506,0.50359,1.06642,1.24198,1.40176,0.0006931,0.0006931,0.0006931
95,2362.41,0.88759,0.84854,1.22738,0.61749,0.62263,0.6203,0.48214,1.06119,1.27001,1.41043,0.0006898,0.0006898,0.0006898
96,2387.04,0.87693,0.81679,1.21218,0.62086,0.6132,0.59853,0.46046,1.08371,1.38554,1.4425,0.0006865,0.0006865,0.0006865
97,2411.66,0.86379,0.82408,1.20719,0.65041,0.58025,0.58649,0.44828,1.07488,1.33967,1.4272,0.0006832,0.0006832,0.0006832
98,2435.09,0.89193,0.83239,1.23295,0.70453,0.57975,0.61625,0.47307,1.0784,1.32527,1.42134,0.0006799,0.0006799,0.0006799
99,2460.16,0.88513,0.81951,1.21528,0.6494,0.64184,0.63541,0.49093,1.07903,1.31038,1.41346,0.0006766,0.0006766,0.0006766
100,2485.39,0.87344,0.81561,1.20456,0.63862,0.64561,0.63174,0.48241,1.09406,1.29816,1.43354,0.0006733,0.0006733,0.0006733
101,2509.62,0.8771,0.82972,1.22398,0.6704,0.62471,0.627,0.48154,1.07449,1.27462,1.4203,0.00067,0.00067,0.00067
102,2533.91,0.87003,0.83271,1.21029,0.7192,0.59366,0.63886,0.49371,1.08084,1.31318,1.42405,0.0006667,0.0006667,0.0006667
103,2558.61,0.84487,0.80073,1.19637,0.68381,0.62805,0.65732,0.50325,1.08148,1.27504,1.41851,0.0006634,0.0006634,0.0006634
104,2583.6,0.87742,0.8154,1.22512,0.69207,0.62651,0.6401,0.49666,1.07302,1.29684,1.42937,0.0006601,0.0006601,0.0006601
105,2607.41,0.85889,0.77886,1.20012,0.62881,0.59937,0.59981,0.46589,1.07769,1.38041,1.40949,0.0006568,0.0006568,0.0006568
106,2632.25,0.85955,0.79389,1.21078,0.6864,0.59855,0.61783,0.47461,1.07642,1.33108,1.42149,0.0006535,0.0006535,0.0006535
107,2657.08,0.82789,0.77978,1.19247,0.68153,0.63044,0.60451,0.47319,1.07723,1.29998,1.40836,0.0006502,0.0006502,0.0006502
108,2680.79,0.84265,0.77398,1.19605,0.69551,0.62733,0.63704,0.49659,1.05787,1.34273,1.39507,0.0006469,0.0006469,0.0006469
109,2704.87,0.8413,0.76193,1.19055,0.65662,0.64163,0.6421,0.49502,1.07227,1.28321,1.41727,0.0006436,0.0006436,0.0006436
110,2729.26,0.82936,0.76769,1.19224,0.69971,0.61278,0.62919,0.48911,1.05662,1.28918,1.41286,0.0006403,0.0006403,0.0006403
111,2754.19,0.84595,0.75208,1.18697,0.72507,0.62967,0.63911,0.4932,1.08087,1.27844,1.43284,0.000637,0.000637,0.000637
112,2777.73,0.85096,0.78227,1.19949,0.67898,0.6191,0.64932,0.48947,1.08297,1.26986,1.42793,0.0006337,0.0006337,0.0006337
113,2802.6,0.84777,0.79588,1.19036,0.67919,0.59534,0.60752,0.46803,1.0747,1.34953,1.42185,0.0006304,0.0006304,0.0006304
114,2826.09,0.84437,0.772,1.19684,0.70706,0.6444,0.65325,0.50032,1.081,1.24524,1.42652,0.0006271,0.0006271,0.0006271
115,2851.41,0.85038,0.79544,1.19124,0.68327,0.62407,0.62298,0.47873,1.09044,1.30475,1.44152,0.0006238,0.0006238,0.0006238
116,2875.77,0.83269,0.7978,1.20373,0.70097,0.62753,0.62868,0.48424,1.05636,1.30512,1.41681,0.0006205,0.0006205,0.0006205
117,2900.88,0.82962,0.75751,1.18262,0.67818,0.63997,0.64299,0.49754,1.05514,1.28222,1.40919,0.0006172,0.0006172,0.0006172
118,2925.73,0.81958,0.76063,1.17657,0.65741,0.6195,0.61996,0.48369,1.04628,1.30519,1.399,0.0006139,0.0006139,0.0006139
119,2949.25,0.82997,0.76555,1.18067,0.66031,0.65772,0.64372,0.49768,1.05556,1.23034,1.41514,0.0006106,0.0006106,0.0006106
120,2973.68,0.81755,0.74835,1.18015,0.6542,0.66719,0.62835,0.48691,1.06464,1.25911,1.41532,0.0006073,0.0006073,0.0006073
121,2998.63,0.80086,0.72889,1.1648,0.69791,0.62639,0.62185,0.48486,1.06103,1.30233,1.42662,0.000604,0.000604,0.000604
122,3022.39,0.81345,0.75335,1.17512,0.71718,0.61753,0.63513,0.4888,1.07531,1.28684,1.43388,0.0006007,0.0006007,0.0006007
123,3047.13,0.81272,0.73495,1.17638,0.692,0.62774,0.63022,0.49427,1.05979,1.28596,1.41786,0.0005974,0.0005974,0.0005974
124,3071.93,0.79178,0.71693,1.15947,0.69785,0.63014,0.6233,0.47878,1.08241,1.31406,1.42803,0.0005941,0.0005941,0.0005941
125,3095.61,0.82813,0.73479,1.19094,0.6674,0.6394,0.62226,0.48385,1.07218,1.34172,1.41385,0.0005908,0.0005908,0.0005908
126,3119.85,0.81865,0.72233,1.16604,0.6899,0.64521,0.63081,0.48423,1.05889,1.30083,1.43396,0.0005875,0.0005875,0.0005875
